,,,,,,OGP VALUE,,,,DEGREE OF DIFFICULTY,,,BRANCH OF GOV'T,,,,
RCID_041,Open Contracting,Consult civil society and the private sector on improving inclusion in procurement,Identify targeted policies to better connect women and minority-owned businesses to the procurement market in consultation with women’s business groups and relevant civil society organizations.,Consult civil society and the private sector on improving inclusion in procurement: Identify targeted policies to better connect women and minority-owned businesses to the procurement market in consultation with women’s business groups and relevant civil society organizations. ,Anti-Corruption,0,1,0,1,0,1,0,1,1,,RCID_034; RCID_035; RCID_036; RCID_037; RCID_038; RCID_039; RCID_040; RCID_041; RCID_042; RCID_043; RCID_044; RCID_045; RCID_046,Anti-Corruption
RCID_042,Open Contracting,Raise awareness of procurement opportunities,"Share information on submitting bids and navigating the procurement process directly with women’s business groups and civil society organizations to encourage greater participation of marginalized groups. For example, in Palmira (Colombia), the municipal government worked directly with suppliers to increase the number of bids won by local businesses, including women-owned businesses.","Raise awareness of procurement opportunities: Share information on submitting bids and navigating the procurement process directly with women’s business groups and civil society organizations to encourage greater participation of marginalized groups. For example, in Palmira (Colombia), the municipal government worked directly with suppliers to increase the number of bids won by local businesses, including women-owned businesses. ",Anti-Corruption,0,1,0,1,1,0,0,1,0,,RCID_034; RCID_035; RCID_036; RCID_037; RCID_038; RCID_039; RCID_040; RCID_041; RCID_042; RCID_043; RCID_044; RCID_045; RCID_046,Anti-Corruption
RCID_043,Open Contracting,Train diverse actors on open contracting data,"Encourage public monitoring of public procurement by providing training that will enable a wide range of users (such as businesses, state auditing institutions, civil society, and journalists) to engage with open contracting data. This engagement includes helping identify red flags and integrity risks across the procurement cycle. For example, the public procurement agency in Indonesia and its CSO partner collaborated to train government auditors, other CSOs, and members of the public.","Train diverse actors on open contracting data: Encourage public monitoring of public procurement by providing training that will enable a wide range of users (such as businesses, state auditing institutions, civil society, and journalists) to engage with open contracting data. This engagement includes helping identify red flags and integrity risks across the procurement cycle. For example, the public procurement agency in Indonesia and its CSO partner collaborated to train government auditors, other CSOs, and members of the public. ",Anti-Corruption,0,1,0,0,0,1,0,1,0,,RCID_034; RCID_035; RCID_036; RCID_037; RCID_038; RCID_039; RCID_040; RCID_041; RCID_042; RCID_043; RCID_044; RCID_045; RCID_046,Anti-Corruption
RCID_044,Open Contracting,Provide the mandate for an oversight authority,"Mandate an authority such as a supreme audit institution, an ombudsperson, or an independent inspectorate to oversee contracting data within or outside the central contracting agency. Part of the authority’s mandate should be to communicate regularly with the public and executive oversight bodies in the legislature.","Provide the mandate for an oversight authority: Mandate an authority such as a supreme audit institution, an ombudsperson, or an independent inspectorate to oversee contracting data within or outside the central contracting agency. Part of the authority’s mandate should be to communicate regularly with the public and executive oversight bodies in the legislature.",Anti-Corruption,1,1,1,0,1,0,0,0,1,,RCID_034; RCID_035; RCID_036; RCID_037; RCID_038; RCID_039; RCID_040; RCID_041; RCID_042; RCID_043; RCID_044; RCID_045; RCID_046,Anti-Corruption
RCID_045,Open Contracting,Create a feedback and complaints mechanism,"Create a feedback and complaints mechanism to address issues during the procurement process, which can be accessed by suppliers, civil society, and other stakeholders to flag potential cases of corruption or fraud, especially during the implementation phase.

- Empower the oversight body to acknowledge and act upon complaints and feedback, and to require regular reporting on how well the procurement platform is meeting objectives.","Create a feedback and complaints mechanism: Create a feedback and complaints mechanism to address issues during the procurement process, which can be accessed by suppliers, civil society, and other stakeholders to flag potential cases of corruption or fraud, especially during the implementation phase.

- Empower the oversight body to acknowledge and act upon complaints and feedback, and to require regular reporting on how well the procurement platform is meeting objectives.",Anti-Corruption,0,1,1,0,0,1,0,0,1,,RCID_034; RCID_035; RCID_036; RCID_037; RCID_038; RCID_039; RCID_040; RCID_041; RCID_042; RCID_043; RCID_044; RCID_045; RCID_046,Anti-Corruption
RCID_046,Open Contracting,Conduct public auditing,"Expedite and publish audits of all public expenditures, including spending on emergency procurement.","Conduct public auditing: Expedite and publish audits of all public expenditures, including spending on emergency procurement.",Anti-Corruption,1,0,1,0,0,0,1,1,0,,RCID_034; RCID_035; RCID_036; RCID_037; RCID_038; RCID_039; RCID_040; RCID_041; RCID_042; RCID_043; RCID_044; RCID_045; RCID_046,Anti-Corruption
RCID_047,Free Assembly,Limit restrictions on assemblies,"Ensure legislation and rules limit restrictions that require individuals to seek permits to organize planned assemblies. Specifically, no authorization should be required to hold an assembly, following internationally agreed-upon standards.

- Any restrictions on assemblies should be prescribed clearly by law, narrowly tailored, and necessary. 
- Any notification requirements should aim to assist authorities with facilitating the exercise of assembly rights, and spontaneous gatherings should be permitted.","Limit restrictions on assemblies: Ensure legislation and rules limit restrictions that require individuals to seek permits to organize planned assemblies. Specifically, no authorization should be required to hold an assembly, following internationally agreed-upon standards.

- Any restrictions on assemblies should be prescribed clearly by law, narrowly tailored, and necessary. 
- Any notification requirements should aim to assist authorities with facilitating the exercise of assembly rights, and spontaneous gatherings should be permitted.",Civic Space,0,1,0,0,1,0,0,1,1,,RCID_047; RCID_048; RCID_049; RCID_050; RCID_051; RCID_052; RCID_053; RCID_054; RCID_055; RCID_056; RCID_057; RCID_058; RCID_059; RCID_060,Civic Space
RCID_048,Free Assembly,Establish rules on the management of protests by security forces,"Establish rules to ensure that law enforcement is trained to police assemblies in a manner consistent with relevant human rights standards. Only these trained officers should be used to manage assemblies.

- Introduce measures to prohibit the use of private and parastate security forces to manage protests and assemblies. Such measures should ensure that private security services do not perform policing functions during assemblies in lieu of democratically controlled police forces. 
- The military should not be used to police assemblies. Military personnel may be deployed to manage protests and assemblies only when the following conditions are met: in exceptional circumstances, on a temporary basis, in a support capacity, and after receiving appropriate human rights training.","Establish rules on the management of protests by security forces: Establish rules to ensure that law enforcement is trained to police assemblies in a manner consistent with relevant human rights standards. Only these trained officers should be used to manage assemblies.

- Introduce measures to prohibit the use of private and parastate security forces to manage protests and assemblies. Such measures should ensure that private security services do not perform policing functions during assemblies in lieu of democratically controlled police forces. 
- The military should not be used to police assemblies. Military personnel may be deployed to manage protests and assemblies only when the following conditions are met: in exceptional circumstances, on a temporary basis, in a support capacity, and after receiving appropriate human rights training.",Civic Space,0,1,0,0,0,1,0,0,1,,RCID_047; RCID_048; RCID_049; RCID_050; RCID_051; RCID_052; RCID_053; RCID_054; RCID_055; RCID_056; RCID_057; RCID_058; RCID_059; RCID_060,Civic Space
RCID_049,Free Assembly,Establish rules on the public use of private land,"Introduce rules to clarify and allow for the right of assembly on publicly accessible private land, especially where that land serves as a public gathering place, such as shopping malls.","Establish rules on the public use of private land: Introduce rules to clarify and allow for the right of assembly on publicly accessible private land, especially where that land serves as a public gathering place, such as shopping malls.",Civic Space,0,1,0,0,0,0,1,0,1,,RCID_047; RCID_048; RCID_049; RCID_050; RCID_051; RCID_052; RCID_053; RCID_054; RCID_055; RCID_056; RCID_057; RCID_058; RCID_059; RCID_060,Civic Space
RCID_050,Free Assembly,Establish proportionate legal responses,"Ensure that criminal or administrative liability imposed in connection with organizing and participating in protests is clearly prescribed and proportionate to the underlying conduct. For example, prosecutors should not prosecute organizers for actions made in “good faith” or for participants not involved in violent actions. 

- This would include the proportionate application and use of civil and administrative fines and penalties for violations.
- Criminal liability should never be imposed for the mere act of organizing or participating in a protest.
- Ensure that other vague policy frameworks—such as for public morality or national security—are not misused for prosecuting and limiting assembly.","Establish proportionate legal responses: Ensure that criminal or administrative liability imposed in connection with organizing and participating in protests is clearly prescribed and proportionate to the underlying conduct. For example, prosecutors should not prosecute organizers for actions made in “good faith” or for participants not involved in violent actions. 

- This would include the proportionate application and use of civil and administrative fines and penalties for violations.
- Criminal liability should never be imposed for the mere act of organizing or participating in a protest.
- Ensure that other vague policy frameworks—such as for public morality or national security—are not misused for prosecuting and limiting assembly.",Civic Space,0,1,1,0,1,0,0,1,1,,RCID_047; RCID_048; RCID_049; RCID_050; RCID_051; RCID_052; RCID_053; RCID_054; RCID_055; RCID_056; RCID_057; RCID_058; RCID_059; RCID_060,Civic Space
RCID_051,Free Assembly,Establish and maintain multi-stakeholder oversight commissions,"Establish multi-stakeholder commissions, which can relieve police of the duty to determine the legality of an assembly.","Establish and maintain multi-stakeholder oversight commissions: Establish multi-stakeholder commissions, which can relieve police of the duty to determine the legality of an assembly. ",Civic Space,0,1,1,0,0,0,1,0,1,,RCID_047; RCID_048; RCID_049; RCID_050; RCID_051; RCID_052; RCID_053; RCID_054; RCID_055; RCID_056; RCID_057; RCID_058; RCID_059; RCID_060,Civic Space
RCID_052,Free Assembly,Establish and publish police protocols,"Establish and publish open, clear, and ethical protocols addressing police conduct before, during, and following protests. Require regular and ad hoc reporting to the legislature on these protocols. For example, Nigeria committed to co-create a guide on peaceful protests.","Establish and publish police protocols: Establish and publish open, clear, and ethical protocols addressing police conduct before, during, and following protests. Require regular and ad hoc reporting to the legislature on these protocols. For example, Nigeria committed to co-create a guide on peaceful protests.",Civic Space,1,0,0,0,1,0,0,1,1,,RCID_047; RCID_048; RCID_049; RCID_050; RCID_051; RCID_052; RCID_053; RCID_054; RCID_055; RCID_056; RCID_057; RCID_058; RCID_059; RCID_060,Civic Space
RCID_053,Free Assembly,Train police officers in protocols,Train police officers in proportionate responses and requirements for the use of uniformed police at assemblies.,Train police officers in protocols: Train police officers in proportionate responses and requirements for the use of uniformed police at assemblies.,Civic Space,0,1,0,0,1,0,0,1,0,,RCID_047; RCID_048; RCID_049; RCID_050; RCID_051; RCID_052; RCID_053; RCID_054; RCID_055; RCID_056; RCID_057; RCID_058; RCID_059; RCID_060,Civic Space
RCID_054,Free Assembly,Publish guidance on the use of force,"Make the guidance for use of force and equipment transparent and easily accessible, including post-assembly reporting of police operations. 

- Laws should limit the circumstances in which any use of force can be used, and require the exhaustion of non-violent means before using force, which should be authorized only where absolutely necessary. This includes limiting the use of containment strategies to exceptional cases.","Publish guidance on the use of force: Make the guidance for use of force and equipment transparent and easily accessible, including post-assembly reporting of police operations. 

- Laws should limit the circumstances in which any use of force can be used, and require the exhaustion of non-violent means before using force, which should be authorized only where absolutely necessary. This includes limiting the use of containment strategies to exceptional cases.",Civic Space,1,0,0,0,0,1,0,1,0,,RCID_047; RCID_048; RCID_049; RCID_050; RCID_051; RCID_052; RCID_053; RCID_054; RCID_055; RCID_056; RCID_057; RCID_058; RCID_059; RCID_060,Civic Space
RCID_055,Free Assembly,Publish information on police conduct,Publish information on the conduct of police officers during assemblies and protests following events.,Publish information on police conduct: Publish information on the conduct of police officers during assemblies and protests following events.,Civic Space,1,0,0,0,0,1,0,1,0,,RCID_047; RCID_048; RCID_049; RCID_050; RCID_051; RCID_052; RCID_053; RCID_054; RCID_055; RCID_056; RCID_057; RCID_058; RCID_059; RCID_060,Civic Space
RCID_056,Free Assembly,Create multi-level legal frameworks,"Create stronger legal frameworks that protect the freedom of assembly in a multi-level approach from the local, state, and national or federal levels. Frameworks should provide accountability for violations committed by law enforcement or other officials during protests and assemblies.","Create multi-level legal frameworks: Create stronger legal frameworks that protect the freedom of assembly in a multi-level approach from the local, state, and national or federal levels. Frameworks should provide accountability for violations committed by law enforcement or other officials during protests and assemblies.",Civic Space,0,1,0,0,0,0,1,0,1,,RCID_047; RCID_048; RCID_049; RCID_050; RCID_051; RCID_052; RCID_053; RCID_054; RCID_055; RCID_056; RCID_057; RCID_058; RCID_059; RCID_060,Civic Space
RCID_057,Free Assembly,Create regulations for detentions,"Create regulations on the use of detention, which impacts detentions in the context of assemblies. Any detentions must meet a set of legal “minimum standards,” including due process protections and the requirement of individualized suspicion.","Create regulations for detentions: Create regulations on the use of detention, which impacts detentions in the context of assemblies. Any detentions must meet a set of legal “minimum standards,” including due process protections and the requirement of individualized suspicion.",Civic Space,0,1,0,0,0,1,0,0,1,,RCID_047; RCID_048; RCID_049; RCID_050; RCID_051; RCID_052; RCID_053; RCID_054; RCID_055; RCID_056; RCID_057; RCID_058; RCID_059; RCID_060,Civic Space
RCID_058,Free Assembly,Create legal protections for independent monitors,Adopt legal and practical protections for independent monitors to provide oversight of police and protester actions during assemblies.,Create legal protections for independent monitors: Adopt legal and practical protections for independent monitors to provide oversight of police and protester actions during assemblies.,Civic Space,0,0,1,0,0,1,0,0,1,,RCID_047; RCID_048; RCID_049; RCID_050; RCID_051; RCID_052; RCID_053; RCID_054; RCID_055; RCID_056; RCID_057; RCID_058; RCID_059; RCID_060,Civic Space
RCID_059,Free Assembly,Co-create legislation related to free assembly with civil society,"Strengthen and support more systemic participation of civil society in drafting legislation related to this right, focusing on relationships with a broad coalition of civil society partners working across different issue areas. 

- Diversity and inclusivity are key to developing commitments that respond to the needs of the community and advance civic space priorities, with special attention to women’s groups and the youth in government decision-making processes.","Co-create legislation related to free assembly with civil society: Strengthen and support more systemic participation of civil society in drafting legislation related to this right, focusing on relationships with a broad coalition of civil society partners working across different issue areas. 

- Diversity and inclusivity are key to developing commitments that respond to the needs of the community and advance civic space priorities, with special attention to women’s groups and the youth in government decision-making processes.",Civic Space,0,1,0,1,0,0,1,0,1,,RCID_047; RCID_048; RCID_049; RCID_050; RCID_051; RCID_052; RCID_053; RCID_054; RCID_055; RCID_056; RCID_057; RCID_058; RCID_059; RCID_060,Civic Space
RCID_060,Free Assembly,Protect free access to the internet,"Guarantee unobstructed access to social platforms and the broader web at all times to allow mobilizing, sharing, and creating content. Under no circumstances should the authorities shut down, throttle, or block internet services (in whole or in part). Protecting public safety or public order is insufficient justification for restricting internet services in any way. In practice, such disruptions to internet connectivity tend to undermine the access to information needed to guarantee public safety while also encouraging abuses.","Protect free access to the internet: Guarantee unobstructed access to social platforms and the broader web at all times to allow mobilizing, sharing, and creating content. Under no circumstances should the authorities shut down, throttle, or block internet services (in whole or in part). Protecting public safety or public order is insufficient justification for restricting internet services in any way. In practice, such disruptions to internet connectivity tend to undermine the access to information needed to guarantee public safety while also encouraging abuses.",Civic Space,0,1,0,0,0,0,1,1,0,,RCID_047; RCID_048; RCID_049; RCID_050; RCID_051; RCID_052; RCID_053; RCID_054; RCID_055; RCID_056; RCID_057; RCID_058; RCID_059; RCID_060,Civic Space
RCID_061,Free Association,Remove barriers to CSO registration,"Eliminate requirements for CSOs to secure legal registration in order to operate, and remove any restrictions particularly limiting the exercise of associational rights by certain groups.

- Ensure that rules regarding the formation and registration of CSOs are fair, transparent, and evenly applied to allow minority or unpopular viewpoints to be advanced by CSOs and expressed in advocacy.
- This is particularly important for organizations working on sensitive issues, such as anti-corruption, environment and land, human rights, political reform, and rights and access to services for women, especially with groups most at risk of harassment, including LGBTQIA+ individuals, religious minorities, and indigenous people.","Remove barriers to CSO registration: Eliminate requirements for CSOs to secure legal registration in order to operate, and remove any restrictions particularly limiting the exercise of associational rights by certain groups.

- Ensure that rules regarding the formation and registration of CSOs are fair, transparent, and evenly applied to allow minority or unpopular viewpoints to be advanced by CSOs and expressed in advocacy.
- This is particularly important for organizations working on sensitive issues, such as anti-corruption, environment and land, human rights, political reform, and rights and access to services for women, especially with groups most at risk of harassment, including LGBTQIA+ individuals, religious minorities, and indigenous people.",Civic Space,0,1,0,1,1,0,0,1,1,,RCID_061; RCID_062; RCID_063; RCID_064; RCID_065; RCID_066; RCID_067; RCID_068; RCID_069; RCID_070; RCID_071; RCID_072; RCID_073; RCID_074,Civic Space
RCID_062,Free Association,"Establish and publish objective, transparent criteria for granting legal status to CSOs, including non-profit status","Establish and publish laws and regulations governing the process to grant legal status to CSOs, which should include objective, transparent criteria for the approval of non-profit status. Such laws and regulations should limit the scope of official discretion in adjudicating applications for this status to minimize abuse of the process.","Establish and publish objective, transparent criteria for granting legal status to CSOs, including non-profit status: Establish and publish laws and regulations governing the process to grant legal status to CSOs, which should include objective, transparent criteria for the approval of non-profit status. Such laws and regulations should limit the scope of official discretion in adjudicating applications for this status to minimize abuse of the process. ",Civic Space,1,0,0,0,1,0,0,1,1,,RCID_061; RCID_062; RCID_063; RCID_064; RCID_065; RCID_066; RCID_067; RCID_068; RCID_069; RCID_070; RCID_071; RCID_072; RCID_073; RCID_074,Civic Space
RCID_063,Free Association,Simplify CSO registration,"Ensure CSOs can register through a simple, established process with clear time limits, which is equally accessible throughout the country.

- Reduce the number of registration documents, registration fees, and the number of agencies an organization must interact with to register.
- Clarify rules and minimize restrictions on foreign organizations in line with all domestic rights and regulations.","Simplify CSO registration: Ensure CSOs can register through a simple, established process with clear time limits, which is equally accessible throughout the country.

- Reduce the number of registration documents, registration fees, and the number of agencies an organization must interact with to register.
- Clarify rules and minimize restrictions on foreign organizations in line with all domestic rights and regulations.",Civic Space,0,1,0,0,0,1,0,1,0,,RCID_061; RCID_062; RCID_063; RCID_064; RCID_065; RCID_066; RCID_067; RCID_068; RCID_069; RCID_070; RCID_071; RCID_072; RCID_073; RCID_074,Civic Space
RCID_064,Free Association,Create an appeals process,"Create an appeals process to ensure there is an adequate remedy for appealing denials of legal status to CSOs, including through both administrative and judicial means.","Create an appeals process: Create an appeals process to ensure there is an adequate remedy for appealing denials of legal status to CSOs, including through both administrative and judicial means.",Civic Space,0,0,1,0,0,1,0,0,1,,RCID_061; RCID_062; RCID_063; RCID_064; RCID_065; RCID_066; RCID_067; RCID_068; RCID_069; RCID_070; RCID_071; RCID_072; RCID_073; RCID_074,Civic Space
RCID_065,Free Association,Require minimum internal governance standards for CSOs,"Require minimum internal governance standards for CSOs. Require minimum governance standards for CSOs, which should be addressed in their internal governing documents. The requirements may be different for membership and non-membership organizations. A CSO should have broad discretion to set and change its governance structure within the limits provided by law, through its founders or highest governing body.","Require minimum internal governance standards for CSOs. Require minimum governance standards for CSOs, which should be addressed in their internal governing documents. The requirements may be different for membership and non-membership organizations. A CSO should have broad discretion to set and change its governance structure within the limits provided by law, through its founders or highest governing body.",Civic Space,0,1,0,0,1,0,0,0,1,,RCID_061; RCID_062; RCID_063; RCID_064; RCID_065; RCID_066; RCID_067; RCID_068; RCID_069; RCID_070; RCID_071; RCID_072; RCID_073; RCID_074,Civic Space
RCID_066,Free Association,Establish limitations on interference with the governance and activities of CSOs,"Avoid interfering with the internal governance and management of CSOs, except as required to serve a legitimate purpose under international law. CSOs should generally be free to draft their own rules and regulations, select their own management and representatives, and determine their own objectives and activities, in line with international human rights standards. CSOs should not be subject to more burdensome or restrictive regulations or requirements than other legal entities, such as corporations, private companies, and religious institutions.","Establish limitations on interference with the governance and activities of CSOs: Avoid interfering with the internal governance and management of CSOs, except as required to serve a legitimate purpose under international law. CSOs should generally be free to draft their own rules and regulations, select their own management and representatives, and determine their own objectives and activities, in line with international human rights standards. CSOs should not be subject to more burdensome or restrictive regulations or requirements than other legal entities, such as corporations, private companies, and religious institutions.",Civic Space,0,1,0,0,1,0,0,1,1,,RCID_061; RCID_062; RCID_063; RCID_064; RCID_065; RCID_066; RCID_067; RCID_068; RCID_069; RCID_070; RCID_071; RCID_072; RCID_073; RCID_074,Civic Space
RCID_067,Free Association,Create a non-profit register,"Establish a single registry of all non-profit organizations with legal personhood. For example, North Macedonia committed to creating such a register through OGP. This register should be no more burdensome or restrictive than any other register of legal personalities and entities (such as company beneficial ownership registers or open cadastres).","Create a non-profit register: Establish a single registry of all non-profit organizations with legal personhood. For example, North Macedonia committed to creating such a register through OGP. This register should be no more burdensome or restrictive than any other register of legal personalities and entities (such as company beneficial ownership registers or open cadastres).",Civic Space,1,0,0,0,0,1,0,0,1,,RCID_061; RCID_062; RCID_063; RCID_064; RCID_065; RCID_066; RCID_067; RCID_068; RCID_069; RCID_070; RCID_071; RCID_072; RCID_073; RCID_074,Civic Space
RCID_068,Free Association,Ensure fair application of fraud and abuse rules,"Create and publish narrowly defined guidance to minimize abuse by regulatory authorities. This can reduce the abuse of non-profit organizations by corrupt actors. At the same time, to reduce abuse by regulatory authorities, it is essential to ensure that such rules are applied in a non-discriminatory, legal, and proportionate fashion.","Ensure fair application of fraud and abuse rules: Create and publish narrowly defined guidance to minimize abuse by regulatory authorities. This can reduce the abuse of non-profit organizations by corrupt actors. At the same time, to reduce abuse by regulatory authorities, it is essential to ensure that such rules are applied in a non-discriminatory, legal, and proportionate fashion.",Civic Space,1,1,0,0,0,1,0,0,1,,RCID_061; RCID_062; RCID_063; RCID_064; RCID_065; RCID_066; RCID_067; RCID_068; RCID_069; RCID_070; RCID_071; RCID_072; RCID_073; RCID_074,Civic Space
RCID_069,Free Association,Train public officials,Ensure that public and administration officials are well-trained and sensitized to the varying capacity and formality of CSOs when providing services.,Train public officials: Ensure that public and administration officials are well-trained and sensitized to the varying capacity and formality of CSOs when providing services.,Civic Space,0,1,0,0,0,1,0,1,0,,RCID_061; RCID_062; RCID_063; RCID_064; RCID_065; RCID_066; RCID_067; RCID_068; RCID_069; RCID_070; RCID_071; RCID_072; RCID_073; RCID_074,Civic Space
RCID_070,Free Association,Publish tax benefit rules,"Publish tax benefit rules.

- Such approaches must account for rights to free speech, advocacy, and education, while also maintaining adequate protections for the integrity of elections or legislative and regulatory processes.","Publish tax benefit rules.

- Such approaches must account for rights to free speech, advocacy, and education, while also maintaining adequate protections for the integrity of elections or legislative and regulatory processes.",Civic Space,1,1,0,0,1,0,0,1,0,,RCID_061; RCID_062; RCID_063; RCID_064; RCID_065; RCID_066; RCID_067; RCID_068; RCID_069; RCID_070; RCID_071; RCID_072; RCID_073; RCID_074,Civic Space
RCID_071,Free Association,Promote sustainable funding,"Promote funding opportunities and mechanisms to ensure organizational sustainability, which helps CSOs and other groups plan for the long term. Examples of this are below. 

- Provide tax exemptions to CSOs on most, if not all, categories of income. 
- Provide tax benefits and tax incentives to individuals and businesses that donate to CSOs.
- Provide access to international funding without the need for prior government registration or permission, or the use of state-controlled entities as an intermediary.
- Ensure the availability of core and infrastructure funding, as well as longer-term funding (three years or more), where state funding is essential. As appropriate, establish or strengthen a transparent, rule-based, dedicated state-run fund(s) to support CSO activities and institutional development in priority areas.
Ensure legal ability to carry out independent, public fundraising activities in accordance with the law and to access foreign funding.","Promote sustainable funding: Promote funding opportunities and mechanisms to ensure organizational sustainability, which helps CSOs and other groups plan for the long term. Examples of this are below. 

- Provide tax exemptions to CSOs on most, if not all, categories of income. 
- Provide tax benefits and tax incentives to individuals and businesses that donate to CSOs.
- Provide access to international funding without the need for prior government registration or permission, or the use of state-controlled entities as an intermediary.
- Ensure the availability of core and infrastructure funding, as well as longer-term funding (three years or more), where state funding is essential. As appropriate, establish or strengthen a transparent, rule-based, dedicated state-run fund(s) to support CSO activities and institutional development in priority areas.
Ensure legal ability to carry out independent, public fundraising activities in accordance with the law and to access foreign funding.",Civic Space,0,1,0,0,0,0,1,0,1,,RCID_061; RCID_062; RCID_063; RCID_064; RCID_065; RCID_066; RCID_067; RCID_068; RCID_069; RCID_070; RCID_071; RCID_072; RCID_073; RCID_074,Civic Space
RCID_072,Free Association,Align reporting regulations with international standards,"Ensure that reporting regulations follow international standards, such as those related to privacy and minimal state interference, to limit restrictions on CSOs and other association groups.","Align reporting regulations with international standards: Ensure that reporting regulations follow international standards, such as those related to privacy and minimal state interference, to limit restrictions on CSOs and other association groups. ",Civic Space,0,1,0,0,0,1,0,0,1,,RCID_061; RCID_062; RCID_063; RCID_064; RCID_065; RCID_066; RCID_067; RCID_068; RCID_069; RCID_070; RCID_071; RCID_072; RCID_073; RCID_074,Civic Space
RCID_073,Free Association,Create narrowly tailored and transparent auditing procedures,"Limit government-imposed audit requirements for CSOs to situations where these associations receive public funding. In those circumstances, adopt and implement transparent audit procedures for government auditing agencies to follow, including conditions triggering an audit, advance notice, procedures for random audits, restrictions on the use of audits for personal information or harassment, and reporting on the use of public funds.","Create narrowly tailored and transparent auditing procedures: Limit government-imposed audit requirements for CSOs to situations where these associations receive public funding. In those circumstances, adopt and implement transparent audit procedures for government auditing agencies to follow, including conditions triggering an audit, advance notice, procedures for random audits, restrictions on the use of audits for personal information or harassment, and reporting on the use of public funds.",Civic Space,1,0,1,0,0,1,0,1,0,,RCID_061; RCID_062; RCID_063; RCID_064; RCID_065; RCID_066; RCID_067; RCID_068; RCID_069; RCID_070; RCID_071; RCID_072; RCID_073; RCID_074,Civic Space
RCID_074,Free Association,Standardize reporting data,"Standardize data reporting of public funds provided to CSOs and projects supported by such funds in an open data format, such as through the International Aid Transparency Initiative.","Standardize reporting data: Standardize data reporting of public funds provided to CSOs and projects supported by such funds in an open data format, such as through the International Aid Transparency Initiative.",Civic Space,1,0,0,0,0,1,0,1,0,,RCID_061; RCID_062; RCID_063; RCID_064; RCID_065; RCID_066; RCID_067; RCID_068; RCID_069; RCID_070; RCID_071; RCID_072; RCID_073; RCID_074,Civic Space
RCID_075,Free Expression,Create national-level plans to protect media workers,"Create a National Action Plan on the Safety of Journalists and a National Journalist Safety Mechanism through an inclusive, multi-stakeholder process. This can include safety measures such as a hotline for journalists to report threats to their safety","Create national-level plans to protect media workers: Create a National Action Plan on the Safety of Journalists and a National Journalist Safety Mechanism through an inclusive, multi-stakeholder process. This can include safety measures such as a hotline for journalists to report threats to their safety",Civic Space,0,1,0,0,0,1,0,0,1,,RCID_075; RCID_076; RCID_077; RCID_078; RCID_079; RCID_080; RCID_081; RCID_082; RCID_083; RCID_084; RCID_085; RCID_086; RCID_087; RCID_088; RCID_089,Civic Space
RCID_076,Free Expression,Consult marginalized groups to create protections,Engage organizations representing women and other minorities in crafting solutions to harassment and violence.,Consult marginalized groups to create protections: Engage organizations representing women and other minorities in crafting solutions to harassment and violence.,Civic Space,0,1,0,1,0,1,0,1,1,,RCID_075; RCID_076; RCID_077; RCID_078; RCID_079; RCID_080; RCID_081; RCID_082; RCID_083; RCID_084; RCID_085; RCID_086; RCID_087; RCID_088; RCID_089,Civic Space
RCID_077,Free Expression,Create protections for those under threat of violence,"Create specific safety mechanisms for individuals and groups under threat of violence, especially women, activists, and LGBTQIA+ media actors. This may include enhanced protection and, where necessary, temporary relocation.","Create protections for those under threat of violence: Create specific safety mechanisms for individuals and groups under threat of violence, especially women, activists, and LGBTQIA+ media actors. This may include enhanced protection and, where necessary, temporary relocation.",Civic Space,0,1,0,1,0,0,1,0,1,,RCID_075; RCID_076; RCID_077; RCID_078; RCID_079; RCID_080; RCID_081; RCID_082; RCID_083; RCID_084; RCID_085; RCID_086; RCID_087; RCID_088; RCID_089,Civic Space
RCID_078,Free Expression,Create early-warning and emergency support mechanisms,"Create or strengthen a system to provide rapid early-warning and emergency support to activists, including security, relocation, travel, work, and family assistance. This includes adopting legislation or creating executive orders to address gaps in the legal framework that might prevent an effective, timely response. 

- Creating legal pathways that can quickly provide refuge to activists at risk of persecution, such as emergency visas. The Czech Republic can serve as an example for how to publish emergency visas quickly, especially in collaboration with civil society.","Create early-warning and emergency support mechanisms: Create or strengthen a system to provide rapid early-warning and emergency support to activists, including security, relocation, travel, work, and family assistance. This includes adopting legislation or creating executive orders to address gaps in the legal framework that might prevent an effective, timely response. 

- Creating legal pathways that can quickly provide refuge to activists at risk of persecution, such as emergency visas. The Czech Republic can serve as an example for how to publish emergency visas quickly, especially in collaboration with civil society.",Civic Space,0,1,0,0,0,0,1,0,1,,RCID_075; RCID_076; RCID_077; RCID_078; RCID_079; RCID_080; RCID_081; RCID_082; RCID_083; RCID_084; RCID_085; RCID_086; RCID_087; RCID_088; RCID_089,Civic Space
